latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,confidence,version,bright_ti5,frp,daynight
-36.49632,149.98199,333.3,0.7,0.75,2020-01-24,0242,N,nominal,1.0NRT,289.8,39.6,D
-36.49663,149.96623,334.4,0.7,0.75,2020-01-24,0242,N,nominal,1.0NRT,289,27.6,D
-36.49785,149.48109,331.8,0.75,0.77,2020-01-24,0242,N,nominal,1.0NRT,294.1,8.8,D
-36.42453,149.51688,367,0.75,0.77,2020-01-24,0242,N,high,1.0NRT,300.6,28.3,D
-36.3824,149.97989,338.4,0.7,0.75,2020-01-24,0242,N,nominal,1.0NRT,290.3,10,D
-36.38061,149.54292,367,0.74,0.76,2020-01-24,0242,N,high,1.0NRT,297.3,24.3,D
-36.36082,149.99542,346.2,0.7,0.75,2020-01-24,0242,N,nominal,1.0NRT,290.9,12.4,D
-36.3797,149.98407,339.3,0.7,0.75,2020-01-24,0242,N,nominal,1.0NRT,290.8,13.2,D
-36.38018,149.54556,346.3,0.74,0.76,2020-01-24,0242,N,nominal,1.0NRT,295.9,21.3,D
-36.38026,149.54019,349.7,0.74,0.76,2020-01-24,0242,N,nominal,1.0NRT,295.2,16.5,D
-36.36518,149.99954,338.3,0.7,0.75,2020-01-24,0242,N,nominal,1.0NRT,291.3,6.7,D
-36.35807,149.9991,331.1,0.7,0.75,2020-01-24,0242,N,nominal,1.0NRT,290.3,6.7,D
-36.33656,149.5479,341.2,0.74,0.76,2020-01-24,0242,N,nominal,1.0NRT,293.6,8,D
-36.29311,149.5377,367,0.74,0.76,2020-01-24,0242,N,high,1.0NRT,297.4,39.5,D
-36.29206,149.53772,367,0.74,0.76,2020-01-24,0242,N,high,1.0NRT,294.6,42.8,D
-36.2136,149.42174,367,0.75,0.77,2020-01-24,0242,N,high,1.0NRT,303.4,178.3,D
-36.2137,149.41325,367,0.76,0.77,2020-01-24,0242,N,high,1.0NRT,312.6,178.3,D
-36.2135,149.4303,339.3,0.75,0.77,2020-01-24,0242,N,nominal,1.0NRT,299.6,71.6,D
-36.21379,149.40517,346.5,0.76,0.77,2020-01-24,0242,N,nominal,1.0NRT,299.3,61.5,D
-36.2062,149.43011,367,0.75,0.77,2020-01-24,0242,N,high,1.0NRT,301.3,71.6,D
-36.2063,149.42191,352.2,0.75,0.77,2020-01-24,0242,N,nominal,1.0NRT,314,178.3,D
-36.20647,149.40642,332.5,0.76,0.77,2020-01-24,0242,N,nominal,1.0NRT,304.6,61.5,D
-36.19899,149.42218,367,0.75,0.77,2020-01-24,0242,N,high,1.0NRT,303,45.4,D
-36.19909,149.41412,367,0.76,0.77,2020-01-24,0242,N,high,1.0NRT,298.8,45.4,D
-36.19916,149.40681,367,0.76,0.77,2020-01-24,0242,N,high,1.0NRT,302.5,34,D
-36.19928,149.39653,353.7,0.76,0.77,2020-01-24,0242,N,nominal,1.0NRT,306.1,34,D
-36.19186,149.40614,367,0.76,0.77,2020-01-24,0242,N,high,1.0NRT,302.9,34,D
-36.19199,149.39452,349.6,0.76,0.77,2020-01-24,0242,N,nominal,1.0NRT,299.8,34,D
-36.18459,149.40331,355,0.76,0.77,2020-01-24,0242,N,nominal,1.0NRT,301.4,8.5,D
-36.17682,149.44786,367,0.75,0.77,2020-01-24,0242,N,high,1.0NRT,303,25.7,D
-36.17672,149.45744,333.7,0.75,0.77,2020-01-24,0242,N,nominal,1.0NRT,297.9,25.7,D
-36.17693,149.43755,345.6,0.75,0.77,2020-01-24,0242,N,nominal,1.0NRT,297.8,19.6,D
-36.17741,149.3904,334.9,0.76,0.77,2020-01-24,0242,N,nominal,1.0NRT,299.6,8.5,D
-36.16952,149.44849,337.1,0.75,0.77,2020-01-24,0242,N,nominal,1.0NRT,298.7,8.8,D
-36.16271,149.39757,342.2,0.76,0.77,2020-01-24,0242,N,nominal,1.0NRT,302,8.2,D
-36.19952,149.4227,367,0.75,0.77,2020-01-24,0242,N,high,1.0NRT,304.6,43.9,D
-36.19977,149.40738,367,0.76,0.77,2020-01-24,0242,N,high,1.0NRT,302.5,73.8,D
-36.19965,149.41467,354.2,0.75,0.77,2020-01-24,0242,N,nominal,1.0NRT,299.3,73.8,D
-36.19993,149.39757,354.6,0.76,0.77,2020-01-24,0242,N,nominal,1.0NRT,307.1,41.5,D
-36.19247,149.4068,367,0.76,0.77,2020-01-24,0242,N,high,1.0NRT,302,73.8,D
-36.19265,149.39552,367,0.76,0.77,2020-01-24,0242,N,high,1.0NRT,300.2,41.5,D
-36.19223,149.42216,330.3,0.75,0.77,2020-01-24,0242,N,nominal,1.0NRT,299.9,43.9,D
